🆕,D,S,NAME,PARENT TYPE,TYPE,BRAND,ORIGIN,ABV,DNGR ,SHWN ,FINAL,DONGER COMMENTS,SHAWOOBOO COMMENTS
,,,Yebisu Kohaku,PALE ALES,American Amber / Red Ale,SAPPORO BREWERIES,"Sapporo, JAPAN",5.5%,6.6,6.1,6.4,"Best one of the night. Crisp, smooth, and malty. Zero downsides. ","ever so slightly nicer than the normal premium, i think we are drunk as fuck"
,,,Boont Amber Ale,PALE ALES,American Amber / Red Ale,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",5.8%,5.0,7.6,6.3,"Smooth and refined, not that bitter for an American amber, but still hoppy.","(tap score) buttery finish, nice on the nose, great amber"
,,,Brooklyn Summer Ale,PALE ALES,English Pale Ale,BROOKLYN BREWERY,"Brooklyn, NY",5.0%,5.7,6.6,6.2,Smells almost candy sweet. Maybe too floral? Otherwise a very bright summer-vibe ale.,magic beer man makes the ideal hoppless summer pale ale
,,,Red Zeppelin ,PALE ALES,American Amber / Red Ale,54°40' BREWING COMPANY,"Washougal, WA",5.6%,6.0,6.3,6.2,"They added hops, and that makes me sad.","so close, yet so far"
,,,Bloody 'L,PALE ALES,Extra Special / Strong Bitter,BOOMTOWN BREWERY,"Los Angeles, CA",4.8%,6.4,5.7,6.1,Super drinkable an ale. Malty and roasty without being sweet. Just enough hop for a crispy finish. ,slammable drinkable inoffensive
,,,Golden Road Patersbier,PALE ALES,Belgian Enkel,GOLDEN ROAD BREWING,"Los Angeles, CA",4.8%,5.6,6.6,6.1,"Hits more Belgian ale notes than their ""Belgian White."" Light, like a trappist extra-syle. ",more belgian white than their belgian white
,,,O'Hara's Irish Red,PALE ALES,Irish Red Ale,CARLOW BREWING COMPANY,"Carlow, IRELAND",4.3%,5.8,6.3,6.1,"Big points for the most impressive canned ""nitro"" ever, but it doesn't carry the mid beer. ","best nitro can ever, just put a better beer in this thing"
,,,Poleeko Pale Ale,PALE ALES,American Pale Ale,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",5.0%,4.7,7.4,6.1,"Sean says I have to try it on tap. I believe him. Otherwise unspectacular, hop-forward ale.","tap: not bad, not even a little bit. Butter finish, fantastic on the nose (super watery the 2nd time I had it, like a 3.4 bad...3rd time was back to form)
(watery in the can, completely absent butter)"
,,,Leffe Blonde,PALE ALES,Belgian Blonde Ale,ANHEUSER-BUSCH INBEV,"Leuven, BELGIUM",6.6%,6.5,5.5,6.0,A tastefully toned down Duvel for way less money. Not bad at all.,toned down duvel
,,,805,PALE ALES,American Blonde Ale,FIRESTONE WALKER BREWING COMPANY,"Paso Robles, CA",4.7%,5.8,6.0,5.9,Hated on 805 drinkers for years only to find out it's kinda good.,good sippin beer
,,,Amber Waves,PALE ALES,American Amber / Red Ale,OLD STOVE BREWING COMPANY,"Seattle, WA",5.9%,5.8,6.0,5.9,TIL amber ale ≠ red ale. ):,"dark fruit with lots and lots of malt (can: 4.6, Grass = Ass)"
,,,Summit,PALE ALES,American Blonde Ale,CAMPSITE BREWING COMPANY,"Covina, CA",5.8%,5.8,6.0,5.9,805 adjacent. Slammable blonde ale.,"decently nutty, medium body, warm and fuzzy type beat"
,,,Kirin Spring Valley Silk Ale,PALE ALES,American Blonde Ale,KIRIN COMPANY,"Yokohama, JAPAN",5.5%,5.8,,,"A good take on an American pale ale. Slight hop, little fruit, no grass coming back up.  ",
,,,Queen's Delight,PALE ALES,English Pale Ale,LA BODEGA BREWING COMPANY,"Whittier, CA",5.4%,,5.8,,,"""proper drink innit"", dark and malty, lite ESB"
,,,Old Speckled Hen,PALE ALES,English Pale Ale,GREENE KING**,"Suffolk, ENGLAND",5.0%,5.4,6.1,5.8,"Slight herbalness, but otherwise strikes me as a classic English pale ale. ","tastes ""old fashioned"", unique herbalness, very nice body, crisp"
,,,ESB (English Space Beer),PALE ALES,English Bitter,OUTER PLANET BREWING,"Seattle, WA",5.1%,5.5,5.9,5.7,Supposedly their flagship. Makes sense that everything else sorta tastes like an offshoot.,"definitely the go-to from day 1 seattle, should be their signature beer"
,,,Sierra Nevada Pale Ale,PALE ALES,American Pale Ale,SIERRA NEVADA BREWING COMPANY,"Chico, CA",5.6%,5.5,5.8,5.7,Less hop but also less flavor than Piranha. ,not hoppy!
,,,Chronic Amber Ale,PALE ALES,American Amber / Red Ale,PIZZA PORT BRESSI RANCH,"Carlsbad, CA",4.9%,5.5,5.7,5.6,"Malty enough to be an honest to god red. Not a great one, but a red nonetheless. ","lite amber in a good way, fruity essence"
,,,Rocco Red Ale,PALE ALES,American Amber / Red Ale,BOOTLEGGER'S BREWERY,"Fullerton, CA",7.1%,5.5,5.6,5.6,Slightly maltier and less refined Piranha. Hop forward smell and taste. ,lite red with lite hop
,,,El Batallon,PALE ALES,Irish Red Ale,BREWJERIA COMPANY,"Pico Rivera, CA",6.2%,5.7,5.3,5.5,Finishes stronger than Red Trolley or Galway. Still doesn't hold a candle to J. Red.,"slight butter finish with lite red notes, super malty in texture again"
,,,Galway Red Ale,PALE ALES,Irish Red Ale,GOLDEN ROAD BREWING,"Los Angeles, CA",5.3%,5.4,5.5,5.5,Decent malt. Light and almost lager-y. Just barely slightly above Red Trolley. ,"a lite red, a touch fizzy, edge over red trolley"
,,,Line of the Best Fit,PALE ALES,American Pale Ale,CLOUDBURST BREWING,"Seattle, WA",5.7%,6.0,5.0,5.5,No bullshit pale ale. Crisp bitterness with no grass and a good clean finish. ,"an inoffensive pale ale, slight hop with fizz"
,,,Foster's Premium Ale,PALE ALES,Extra Special / Strong Bitter,CARLTON & UNITED BREWERIES**,"**Fort Worth, TX",5.5%,5.5,5.2,5.4,"Tasted English. Turns out it's meant for the English, brewed in Texas. ","not what i was expecting, more bitter than i'd like enough to kill enjoyability just a bit"
,,,Fremont Summer Ale,PALE ALES,American Pale Ale,FREMONT BREWING COMPANY,"Seattle, WA",5.2%,5.8,5.0,5.4,"Piranha adjacent, but proving that Piranha remains the benchmark, for some reason. ","solid pale ale, no offenses"
,,,Sabre-Toothed Squirrel,PALE ALES,American Amber / Red Ale,SMOG CITY BREWING,"Torrance, CA",7.0%,5.2,5.5,5.4,Like a malty IPA. Don't dig it.,ipa after dark
,,,California Honey,PALE ALES,American Blonde Ale,PIZZA PORT BRESSI RANCH,"Carlsbad, CA",5.0%,5.6,4.7,5.2,805 is cheaper and therefore better. Very similar.,"a lightly sweet ""an beer"""
,,,Piranha Pale Ale,PALE ALES,American Pale Ale,BJ'S BREWHOUSE,"West Covina, CA",5.7%,5.8,4.6,5.2,Nice fruity turn if I don't feel like a Red.,"fragrant, light grass, decent drink"
,,,Grunion Pale Ale,PALE ALES,American Pale Ale,BALLAST POINT BREWING COMPANY,"San Diego, CA",5.5%,5.9,4.2,5.1,"Unremarkably decent refreshing pale ale. Has a weird wet finish, don't @ me. ",slightly bland with tons of hops
,,,St. Bernardus Extra 4,PALE ALES,Belgian Enkel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",4.8%,5.2,5.0,5.1,"Finishing off the Heavenly Nectar franchise with a suspiciously ""normal"" beer. ",Exodia completed
,,,Smithwick's Irish Ale,PALE ALES,Irish Red Ale,ST. JAMES'S GATE BREWERY,"Dublin, IRELAND",4.5%,5.5,4.5,5.0,Smells malty but still light relative to J. Red. ,"not enough flavor for an irish red, good fizz and good on the nose"
,,,.394 San Diego Pale Ale,PALE ALES,American Pale Ale,ALESMITH BREWING COMPANY,"San Diego, CA",6.0%,4.8,5.2,5.0,"Has enough hop to taste like tannins. Little sweet with no smell, kinda grassy. ","ever so hoppy, citrusy with a nice finish, on tap"
,,,The Premium Malt's Kaoru Ale,PALE ALES,American Amber / Red Ale,SUNTORY,"Osaka, JAPAN",6.0%,6.0,4.0,5.0,Grassy hop fragrance without any of the taste or bitterness. Interesting take. Not fruity either. ,prehaps don't do beer tasting after bone marrow butter and truffle aioli
,,,Row 2 Hill 56,PALE ALES,American Pale Ale,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",5.8%,4.8,5.0,4.9,Not sure why I get so excited over this brand. ,"feels like a slightly buttery pils mixed with a RR ipa, tastes just ok"
,,,Healdsburg Blonde Ale,PALE ALES,American Blonde Ale,HEALDSBURG BEER COMPANY**,"Boonville, CA",5.4%,3.8,5.7,4.8,"Tastes darker than it looks, just IPA vibes. ","(tap: 4.3, clean, light, ezpz)
can: way better, not light at all, way more depth"
,,,Bachelor Bitter Cask-Conditioned,PALE ALES,English Bitter,DESCHUTES BREWING,"Bend, OR",5.0%,5.0,4.8,4.9,Cask conditioned is like a weird nitro. Came out like a cream ale. Tastes old? Bitter and rooty. ,"among us cream ale, pretty interesting brewing technique, would love to try more of this type"
,,,Barely Legal Honey Blonde Ale,PALE ALES,American Blonde Ale,BIG BEAR LAKE BREWING COMPANY,"Big Bear Lake, CA",6.5%,4.8,5.0,4.9,Honey gives it a weird spiced characteristic. Done better than that weird Lomza honey beer. ,"an interesting brew indeed, def honey notes, with a thick enough of a body to warrant an eyebrow shift"
,,,Bridgetown Blonde,PALE ALES,American Blonde Ale,FEATHERED SERPENT BREWERY,"La Puente, CA",5.0%,,4.8,,,"a decent an beer, all beers have a slight malty body and after taste"
,,,Paint the Town Amber,PALE ALES,American Amber / Red Ale,ROOFTOP BREWING COMPANY,"Seattle, WA",6.0%,,4.8,,,pretty dark amber but with slight bitterness
,,,Red Trolley Ale,PALE ALES,Irish Red Ale,KARL STRAUSS BREWING COMPANY,"Anaheim, CA",5.8%,5.1,4.5,4.8,"J. Red body, lack of flavor.",actual mid af beer
,,,Reissdorf Kölsch,PALE ALES,Kölsch,PRIVAT BRAUEREI HEINRICH REISSDORF,"Cologne, GERMANY",4.8%,4.8,4.7,4.8,"""An beer.""","slight fruit, an ok light beer"
,,,Samuel Smith Organic Pale Ale,PALE ALES,English Pale Ale,SAMUEL SMITH OLD BREWERY,"Tadcaster, ENGLAND",5.0%,5.5,4.0,4.8,"Bottle says it ""captures the soul of beer."" Agreed.",a real good nothing beer
,,,Wipers Time Blonde 14,PALE ALES,Belgian Blonde Ale,BROUWERIJ KAZEMATTEN,"Ypres, BELGIUM ",6.2%,4.4,5.2,4.8,NEW! Witbier LaCroix™.,"sharp bubbles, smells a whole lot better than it tastes"
,,,Einstök Arctic Pale Ale,PALE ALES,American Pale Ale,EINSTÖK ÖLGERÐ,"Akuyeri, ICELAND",5.6%,5.0,4.3,4.7,Thought it'd be worse. Not that grassy. ,would've been good if no grass
,,,Family Vacation Golden Ale,PALE ALES,American Blonde Ale,ROADHOUSE BREWING COMPANY,"Jackson Hole, WY",4.9%,5.0,4.4,4.7,Watered down 805.,an beer. others exist
,,,Brewhouse Blonde,PALE ALES,Kölsch,BJ'S BREWHOUSE,"West Covina, CA",4.7%,4.2,4.9,4.6,"Not bad, but not better than High Life and technically more expensive. ","crisp, light, expensive miller high life"
,,,Redemption,PALE ALES,Belgian Blonde Ale,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",5.2%,4.8,4.3,4.6,"Thought of a Bernadus Wit if it were kinda sad. Refreshing and clean, but bland finish. ","very little fizz, slight sour linger"
,,,Aurora Beeralis Belgian Amber,PALE ALES,American Amber / Red Ale,OUTER PLANET BREWING,"Seattle, WA",5.5%,4.8,4.2,4.5,They took Belgian yeast but brewed it with roasted amber malt? Weird master of none beer. ,the lightest belgian you know
,,,Las Palmas,PALE ALES,American Pale Ale,BOOMTOWN BREWERY,"Los Angeles, CA",5.8%,5.0,3.9,4.5,"Very middle of the road pale ale. Not a ton of grass, also not a ton of fruit. ","lingering bitter aftertaste, not exactly fruit forward"
,,,Daywalker 🚾,PALE ALES,American Amber / Red Ale,BLACK PLAGUE BREWING,"Oceanside, CA",6.1%,4.2,4.4,4.3,Hits more like a brown ale that someone dumped hops into. Decent nuttiness.,hoppy brownish red ale
,,,Kilkenny Irish Cream Ale,PALE ALES,Irish Red Ale,ST. JAMES'S GATE BREWERY,"Dublin, IRELAND",4.3%,4.6,4.0,4.3,Nitro draft goes a LONG way in making it a cream ale. No idea why it's a red.,"carried heavily by the nitro/cream, but severly lacking in flavor, may have been tainted by the toffee pudding"
,,,Fat Tire Ale,PALE ALES,American Amber / Red Ale,NEW BELGIUM BREWING COMPANY,"Fort Collins, CO",5.2%,4.4,4.1,4.3,"Uh oh, stinky.","pretty light amber, easily drinkable"
,,,The Joaquin Dead Mexican Red,PALE ALES,American Amber / Red Ale,EVANS BREWING COMPANY,"Corona, CA",5.2%,5.2,3.3,4.3,So turns out it's not an Irish Red after all. Like an IPA with zero grass.,"extremely watery, but a fruity ipa without the hops. the tech is catching up"
,,,Maltings Irish Ale,PALE ALES,Irish Red Ale,SULLIVAN'S BREWING COMPANY,"Kilkenny, IRELAND",5.0%,5.2,3.4,4.3,"The nicest BROWN ale I've ever had. You swear to god, this can't be a world-ranked red.","brown ale among us beer, THIRD IN CLASS wtf"
,,,Pike Place Pale Ale,PALE ALES,American Pale Ale,PIKE BREWING COMPANY,"Seattle, WA",5.3%,5.2,3.3,4.3,Piranha with more hops. ,tasted warm
,,,Robert Saison,PALE ALES,Saison,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",6.2%,4.5,3.9,4.2,"Forget about his wife Jennemie, Robert's the real one and where it's at fr fr. ","MEN. MEN. MEN. MEN. MEN.
(but still not too great)"
,,,Sky Kraken,PALE ALES,American Pale Ale,FREMONT BREWING COMPANY,"Seattle, WA",5.5%,,4.1,,,"hoppy light beer, wish this was a bit more carbonated"
,,,Karl Strauss House Blonde,PALE ALES,American Blonde Ale,KARL STRAUSS BREWING COMPANY,"Anaheim, CA",4.0%,4.4,3.6,4.0,"805 but hoppy, ergo, worse.",omega lite body with sprinkled in hops
,,,Red Rover Irish Red,PALE ALES,Irish Red Ale,OUTER PLANET BREWING,"Seattle, WA",4.1%,5.0,2.9,4.0,"The most ""lite beer"" red we've had to date. Tastes like it too. ",dirty water with red and brown coloring
,,,Boddington's Pub Ale,PALE ALES,English Pale Ale,BODDINGTONS BREWERY**,"Lancashire, ENGLAND",4.7%,3.6,4.1,3.9,Gimmicky can gizmo. Super smooth and creamy but no flavor to go with it. ,cali' creaming minus one
,,,MadeWest Pale Ale,PALE ALES,American Pale Ale,MADEWEST BREWING COMPANY,"Ventura, CA",5.6%,4.0,3.8,3.9,"Easy to drink, pedestrian pale ale. ","a not-so-refreshing pale ale, bitterness that washes away the pumpkin ale grossness"
,,,Californnia Amber (Calico Amber),PALE ALES,American Amber / Red Ale,BALLAST POINT BREWING COMPANY,"San Diego, CA",5.5%,4.0,3.5,3.8,A passable drink with very slight IPA syndrome. Decent body with some caramel sweetness.,initial dry hit of fruit and hop...then absolutely nothing
,,,Coastal Ale,PALE ALES,American Pale Ale,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",4.5%,4.0,3.5,3.8,"A watery IPA. Not terrible when you've had nothing but IPAs, I guess. ","dry, light, eh"
,,,English Bay Ale,PALE ALES,English Pale Ale,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.0%,3.8,,,"Almost a normal beer, still hoppy at the end.",
,,,STARFAB,PALE ALES,Belgian Pale Ale,OUTER PLANET BREWING,"Seattle, WA",4.6%,4.4,3.1,3.8,Some weird bitterness and almost no Belgian notes. Very similar to an ESB. ,slightly sour nothing beer
,,,Yard House Honey Blonde,PALE ALES,American Blonde Ale,STONE BREWING,"Escondido, CA",4.9%,3.8,3.7,3.8,I don't taste the honey.,"meh, oddly placed hops, with ever so slight hint of sweetness in the aftertaste"
,,,Have a Great Summer! Ale,PALE ALES,English Pale Ale,CLOUDBURST BREWING,"Seattle, WA",4.8%,4.4,3.0,3.7,"Super whatever pale ale, just not as bad as their hoppy excuse of a ""pilsner.""",why exist^2
,,,Mac Drizzle Gold,PALE ALES,American Blonde Ale,ALTAMONT BEER WORKS,"Livermore, CA",5.2%,3.4,4.0,3.7,"Guys, just get 805. What even is this?","ever so slightly hoppy, not good, not bad"
,,,Irish Gold,PALE ALES,English Pale Ale,SULLIVAN'S BREWING COMPANY,"Kilkenny, IRELAND",5.2%,3.8,3.3,3.6,"Like an IPA lite. Bitter, slightly hoppy, slightly grassy. Very little malt.","oddly hoppy, honestly these were bad reps for ireland"
,,,Sharkbite Red Ale,PALE ALES,American Amber / Red Ale,PIZZA PORT BRESSI RANCH,"Carlsbad, CA",6.0%,,3.5,,,"dry with slight hop, not a good red at all"
,,,Jennemie Saison,PALE ALES,Saison,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",6.2%,3.5,3.3,3.4,Weird orange zest hibiscus flower water beer. ,zesty mop water
,,,Chocolate Horchata,PALE ALES,American Blonde Ale,GOLDEN ROAD BREWING,"Los Angeles, CA",6.0%,3.9,2.7,3.3,Zero horchata. Golden Road need to get their eyes checked. This thing is stout colored. ,medicine and alc ruins an otherwise good stout and chocolate notes
,,,NW (Northwest) Red,PALE ALES,American Amber / Red Ale,STOUP BREWING,"Seattle, WA",5.0%,,3.3,,,bitter malt and nothing else
,,,Blue (Pale Ale),PALE ALES,American Pale Ale,FREMONT BREWING COMPANY,"Seattle, WA",5.0%,,3.0,,,omega meh
,,,Peacemaker Anytime Ale,PALE ALES,American Blonde Ale,AUSTIN BEERWORKS,"Austin, TX",5.1%,,3.0,,,"an beer, that's got fruit on the nose but zero flavor"
,,,Give You Nothing,PALE ALES,Saison,WHITTIER BREWING COMPANY,"Whittier, CA",4.0%,2.0,3.3,2.7,"""Give You Nothing"" but a weird sour wannabe. Tastes like a yeasty, mineral-y wild ale.","really off sour, gets worse with every sip"
,,,Oasis Amber,PALE ALES,American Amber / Red Ale,BJ'S BREWHOUSE,"West Covina, CA",4.5%,3.3,2.1,2.7,Disappointingly bland.,J. Red with all the flavor drained out of it
,,,Chimay Dorée (Gold),PALE ALES,Belgian Pale Ale,BRASSERIE DE CHIMAY,"Chimay, BELGIUM",4.8%,,,,,
🆕,,,Fluffler Nutter,PALE ALES,American Blonde Ale,ABITA BREWING COMPANY,"Covington, LA",8.0%,,,,,
,,,Houblon Chouffe,INDIA PALE ALES,Belgian IPA,BRASSERIE D'ACHOUFFE,"Achouffe, BELGIUM",9.0%,7.0,7.0,7.0,"Citrus hop freshness with a little bitterness at the end. Absolutely zero grass, as God intended.","fuck american ipas, this is all flavor no grass"
,⭐,,Duvel Tripel Hop Citra,INDIA PALE ALES,Belgian IPA,BROUWERIJ DUVEL MOORTGAT ,"Breendonk, BELGIUM",9.5%,7.5,6.1,6.8,Leave it to the Belgians to save IPAs.,"top in class, drink this fellow haters"
,,,Noyo Harbor New England IPA,INDIA PALE ALES,New England IPA,UKIAH BREWING COMPANY,"Ukiah, CA",7.2%,,6.8,,,"VERY hazy, strong grapefruit, the juice damn near kills all the hops, really really smooth"
,,,Porch Punch,INDIA PALE ALES,Imperial IPA,DUST BOWL BREWING COMPANY,"Turlock, CA",10.8%,6.8,6.6,6.7,"Might sing a different tune with a full pint, but genuinely impressed with the fruity smoothness.","hi-chew on the nose, actually greate taste iwth negligible hops, sneaky 10% at Disney is crazy"
,,,Flower in the Kettle Hazy,INDIA PALE ALES,New England IPA,WAYFINDER BEER,"Portland, OR",6.7%,6.2,6.7,6.5,Citrus zesty on the nose. Bitterness tastes more like grapefruit than hops and tanins. ,ayo?
,,,Bohemian Winds,INDIA PALE ALES,New England IPA,SMOG CITY BREWING ,"Torrance, CA",6.4%,6.0,6.5,6.3,Orange juice IPA with a some hop bitterness and pretty minimal grass. ,"home sweet home, actually ZERO grass"
,,,Sky Lab,INDIA PALE ALES,Imperial IPA,EQUILIBRIUM BREWERY,"Middletown, NY",8.5%,,6.2,,,"not bad at all, ultra grapefruit"
,,,Weekend Vibes,INDIA PALE ALES,American IPA,CORONADO BREWING COMPANY,"Coronado, CA",6.8%,6.2,6.2,6.2,Damn tasty fruit with no grass. ,white girl wasted ipa
,,,Firewatch Red,INDIA PALE ALES,American IPA,CAMPSITE BREWING COMPANY,"Covina, CA",6.0%,6.3,5.8,6.1,These guys are sandbagging calling this an IPA. More than half-decent red ale.,"zero ipa notes, finishes bitter but honestly a pretty decent red, which means it's a fantastic fuckin ipa LOL"
,,,Founders All Day Session Ale,INDIA PALE ALES,American IPA,FOUNDERS BREWING COMPANY,"Grand Rapids, MI",4.7%,5.8,5.3,5.6,"Indeed a sessionable IPA. No excessive bitterness, no lingering grass. ","lightly fragrant with a complete lack of hops, real green tea vibes"
,,,40 Days & 40 Nights,INDIA PALE ALES,American IPA,LAZARUS BREWING COMPANY,"Austin, TX",6.8%,,5.5,,,strong citrus base with linger hop that doesn't overstay it's welcome
,,,Aurora Lights,INDIA PALE ALES,Belgian IPA,BREWJERIA COMPANY,"Pico Rivera, CA",7.0%,5.4,5.5,5.5,"Belgian texture but no belgian flavors. Lacking citrus, mostly hoppy bitterness.","belgian texture but lacking in forward flavors, not too hoppy to my tastes"
,,,Remix Da Haze,INDIA PALE ALES,New England IPA,MELVIN BREWING,"Alpine, WY",7.5%,,5.5,,,"nice and light, seltzery but with a good fruity note"
,,,Louvada IPA,INDIA PALE ALES,American IPA,CERVEJERIA LOUVADA,"Cuiabá, BRAZIL",6.5%,5.4,5.3,5.4,"Smooth, no grass but also no fruit. Very homogenous in flavor. Not bad, also not special. ","a better ipa option for me, bitter but no offensive grass, body is more of a hazy but no fruit"
,,,Mosaic Session IPA,INDIA PALE ALES,American IPA,KARL STRAUSS BREWING COMPANY,"Anaheim, CA",5.5%,5.2,5.5,5.4,Had it a second time at Karl Strauss's themselves. Decent Piranha contender. ,"3.3, meh (on tap, at KS Brewery: 5.5, actually fantastic on the nose, pale ale vibes with not a lot of grass)"
,,,Samuel Adams Take-A-Day IPA,INDIA PALE ALES,American IPA,BOSTON BEER COMPANY,"Boston, MA",6.0%,4.2,6.5,5.4,I think Sean was drunk. ,"hey, that's pretty good?"
,,,Coedo Marihana,INDIA PALE ALES,American IPA,KYODO SHOJI KOEDO BREWERY,"Saitama, JAPAN",4.3%,4.9,5.6,5.3,"""Session"" is just becoming a loan word for not that grassy. Gets straight to the hop bitterness. ","lite drink, light fruit, light hops, i can drink a few of these"
,,,Two Hearted Ale,INDIA PALE ALES,American IPA,BELL'S BREWERY,"Comstock, MI",7.0%,4.8,5.5,5.2,Not gross. I guess that's a good thing. Middle of the road pale ale vibes.,"not too hazy for a hazy, not too hoppy for an ipa"
,,,"Brethren of Filth",INDIA PALE ALES,Imperial IPA,VILLAINS BREWING COMPANY,"Anaheim, CA",8.5%,,5.2,,,"scary ass dipa, haze on nose, kinda bitter initially but christ gras is MIA"
,,,Hop Fu! ,INDIA PALE ALES,Imperial IPA,NORTH PARK BEER COMPANY,"San Diego, CA",7.5%,5.2,,,Will give it (not many) extra points for being relatively sessionable with 7.5%.,
,,,DeadBeach IPA,INDIA PALE ALES,American IPA,DEADBEACH BREWERY,"El Paso, TX",6.5%,,5.1,,,"rich and hoppy, not too bitter"
,,,Fresh Squeezed IPA,INDIA PALE ALES,American IPA,DESCHUTES BREWERY,"Bend, OR",6.4%,4.6,5.6,5.1,"Sweet caramel vibes like Sculpin, just lighter.","simple, light and fruity"
,,,Heavenly Daze,INDIA PALE ALES,American IPA,ZILKER BREWING COMPANY,"Austin, TX",6.8%,,5.1,,,"hazy with no hop, hits you on the back of the tongue"
,,,ALS Unfiltered IPA,INDIA PALE ALES,New England IPA,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",7.4%,,5.0,,,"almost a pils, light and barely hoppy"
,,,Driving Ms. Hazy,INDIA PALE ALES,New England IPA,FREMONT BREWING COMPANY,"Seattle, WA",5.0%,,5.0,,,"light orange, pretty darn juicy and light"
